URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-blutgruppe,2027.0.0-ballot,active,,MII_VS_Seltene_Blutgruppe,MII VS SE Blutgruppe,"ValueSet für Blutgruppen (AB0 und Rhesusfaktor) basierend auf LOINC Answer List für 882-1","StructureDefinition/mii-pr-seltene-blutgruppe","SCT,LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-clinical-diagnosis-category,2027.0.0-ballot,active,,ClinicalDiagnosisCategoryVS,MII VS SE Clinical Diagnosis Category,"Value set for categorizing clinical diagnoses of rare diseases",,"SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-consanguinity,2027.0.0-ballot,active,,MII_VS_Seltene_Consanguinity,MII VS Seltene Erkrankungen Consanguinity,"ValueSet zur Angabe der Blutsverwandtschaft der Eltern (Consanguinity): Ja / Nein / Unbekannt / Nicht erfasst (SNOMED CT), entsprechend dem Consanguinity Value Set aus RD-CDM v2.0.0.","StructureDefinition/mii-pr-seltene-consanguinity","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-empfehlung-status-begruendung,2027.0.0-ballot,active,,MII_VS_Seltene_Empfehlung_StatusBegruendung,MII VS SE Empfehlung Status Begründung,"ValueSet für Begründung bei fehlender Empfehlung","StructureDefinition/mii-pr-seltene-therapieplan","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-genetic-basis,2027.0.0-ballot,active,,GeneticBasisValueSet,MII VS SE Genetic Basis,"Value set for types of genetic basis of rare diseases","StructureDefinition/mii-ex-seltene-genetic-basis","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-age-of-onset,2027.0.0-ballot,active,,HPOAgeOfOnsetValueSet,MII VS SE HPO Age of Onset,"Value set containing HPO terms for age of onset of diseases","StructureDefinition/mii-ex-seltene-age-of-onset","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-change-status,2027.0.0-ballot,active,,MII_VS_Seltene_HPO_ChangeStatus,MII VS Seltene Erkrankungen HPO Change Status,"ValueSet für Änderungsstatus von HPO-Phänotypen gemäß Modellvorhaben Genomsequenzierung",,"Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-inheritance-pattern,2027.0.0-ballot,active,,HPOInheritancePatternValueSet,MII VS SE HPO Inheritance Pattern,"Value set containing HPO terms for modes of inheritance","StructureDefinition/mii-ex-seltene-inheritance-pattern","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-phenotypic-observation-codes,2027.0.0-ballot,active,,HPOPhenotypicObservationCodes,HPO Phenotypic Observation Codes,"Human Phenotype Ontology codes for phenotypic observations","StructureDefinition/mii-pr-seltene-clinical-diagnosis,StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-hpo-assessment,StructureDefinition/mii-pr-seltene-clinical-impression","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-presence-status,2027.0.0-ballot,active,,HPOPresenceStatus,HPO Phenotype Presence Status,"LOINC codes for indicating presence or absence of phenotypic features. Follows HL7 Phenomics IG pattern.","StructureDefinition/mii-pr-seltene-hpo-assessment","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-hpo-severity,2027.0.0-ballot,active,,HPOSeverity,HPO Severity,"HPO codes for describing severity of phenotypic abnormalities. Follows HL7 Phenomics IG component pattern.","StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-hpo-assessment","hl7.terminology.r4"
